,iso2,year,cases,sex,age
0,AD,1996,0.0,m,0-14
1,AD,1997,0.0,m,0-14
2,AD,1999,0.0,m,0-14
3,AD,2002,0.0,m,0-14
4,AD,2003,0.0,m,0-14
5,AD,2004,0.0,m,0-14
6,AD,2005,0.0,m,0-14
7,AD,2006,0.0,m,0-14
8,AD,2008,0.0,m,0-14
9,AE,1999,4.0,m,0-14
10,AE,2000,2.0,m,0-14
11,AE,2002,1.0,m,0-14
12,AE,2003,2.0,m,0-14
13,AE,2004,1.0,m,0-14
14,AE,2006,0.0,m,0-14
15,AE,2007,2.0,m,0-14
16,AE,2008,0.0,m,0-14
17,AF,1997,0.0,m,0-14
18,AF,1998,30.0,m,0-14
19,AF,1999,8.0,m,0-14
20,AF,2000,52.0,m,0-14
21,AF,2001,129.0,m,0-14
22,AF,2002,90.0,m,0-14
23,AF,2003,127.0,m,0-14
24,AF,2004,139.0,m,0-14
25,AF,2005,151.0,m,0-14
26,AF,2006,193.0,m,0-14
27,AF,2007,186.0,m,0-14
28,AF,2008,187.0,m,0-14
29,AG,1996,0.0,m,0-14
30,AG,2000,0.0,m,0-14
31,AG,2002,0.0,m,0-14
32,AG,2003,0.0,m,0-14
33,AG,2007,0.0,m,0-14
34,AI,2004,0.0,m,0-14
35,AL,1995,0.0,m,0-14
36,AL,1997,0.0,m,0-14
37,AL,1998,1.0,m,0-14
38,AL,1999,0.0,m,0-14
39,AL,2000,2.0,m,0-14
40,AL,2001,3.0,m,0-14
41,AL,2002,0.0,m,0-14
42,AL,2003,0.0,m,0-14
43,AL,2004,5.0,m,0-14
44,AL,2005,0.0,m,0-14
45,AL,2006,5.0,m,0-14
46,AL,2007,0.0,m,0-14
47,AL,2008,1.0,m,0-14
48,AM,1996,2.0,m,0-14
49,AM,1997,2.0,m,0-14
50,AM,1998,2.0,m,0-14
51,AM,1999,4.0,m,0-14
52,AM,2000,2.0,m,0-14
53,AM,2001,2.0,m,0-14
54,AM,2002,1.0,m,0-14
55,AM,2003,12.0,m,0-14
56,AM,2004,2.0,m,0-14
57,AM,2005,3.0,m,0-14
58,AM,2006,0.0,m,0-14
59,AM,2007,1.0,m,0-14
60,AM,2008,0.0,m,0-14
61,AN,1996,0.0,m,0-14
62,AN,1997,0.0,m,0-14
63,AN,1998,0.0,m,0-14
64,AN,1999,0.0,m,0-14
65,AN,2000,0.0,m,0-14
66,AN,2001,0.0,m,0-14
67,AN,2002,0.0,m,0-14
68,AN,2003,0.0,m,0-14
69,AN,2006,0.0,m,0-14
70,AO,1995,386.0,m,0-14
71,AO,1996,360.0,m,0-14
72,AO,1997,419.0,m,0-14
73,AO,1998,240.0,m,0-14
74,AO,1999,391.0,m,0-14
75,AO,2000,186.0,m,0-14
76,AO,2001,230.0,m,0-14
77,AO,2002,435.0,m,0-14
78,AO,2003,409.0,m,0-14
79,AO,2004,554.0,m,0-14
80,AO,2005,520.0,m,0-14
81,AO,2006,540.0,m,0-14
82,AO,2007,484.0,m,0-14
83,AO,2008,367.0,m,0-14
84,AR,1996,113.0,m,0-14
85,AR,1997,96.0,m,0-14
